gene_id	_OP50_3	_OP50_2	_BiGb0552_2	_BiGb411_2	_BiGb0552_3	_BiGb411_3
WBGene00000001	876.0	1108.0	570.0	339.0	694.0	632.0
WBGene00000002	112.0	140.0	108.0	978.0	263.0	1128.0
WBGene00000003	253.0	262.0	124.0	178.0	292.0	361.0
WBGene00000004	118.0	192.0	149.0	178.0	186.0	385.0
WBGene00000005	206.0	251.0	197.0	583.0	367.0	663.0
WBGene00000006	155.0	160.0	185.0	212.0	192.0	355.0
WBGene00000007	421.0	493.0	512.0	605.0	822.0	1018.0
WBGene00000008	28.0	45.0	10.0	11.0	37.0	48.0
WBGene00000009	5.0	8.0	10.0	30.0	11.0	53.0
WBGene00000010	731.0	865.0	504.0	452.0	686.0	839.0
WBGene00000012	2.0	8.0	6.0	2.0	0.0	0.0
WBGene00000013	0.0	1.0	0.0	2.0	0.0	1.0
WBGene00000014	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00000015	0.0	0.0	0.0	0.0	0.0	2.0
WBGene00000016	1.0	30.0	3.0	6.0	6.0	20.0
WBGene00000017	28.0	30.0	20.0	7.0	24.0	35.0
WBGene00000018	328.0	359.0	261.0	597.0	517.0	1174.0
WBGene00000019	253.0	281.0	444.0	152.0	532.0	346.0
WBGene00000020	470.0	490.0	641.0	901.0	862.0	1594.0
WBGene00000021	44.0	47.0	35.0	24.0	73.0	75.0
WBGene00000022	2678.0	2830.0	9597.0	13964.0	6167.0	10693.0
WBGene00000023	270.0	296.0	406.0	170.0	525.0	508.0
WBGene00000024	86.15	74.74	257.12	397.04	441.11	177.97
WBGene00000025	7.0	2.21	12.07	16.0	25.0	1.0
WBGene00000026	0.0	0.0	1.0	1.0	0.0	0.0
WBGene00000027	15.0	19.0	21.0	34.0	78.11	16.8
WBGene00000028	0.0	1.0	0.0	0.0	0.0	0.0
WBGene00000029	80.72	42.82	102.59	108.04	202.43	96.37
WBGene00000030	117.5	55.64	176.7	258.76	335.43	122.14
WBGene00000031	133.0	121.0	246.0	263.0	472.0	202.0
WBGene00000032	8.16	14.58	10.31	3.01	0.0	15.87
WBGene00000033	77.0	48.0	135.0	79.0	231.0	106.0
WBGene00000034	92.0	90.0	199.0	301.0	445.0	270.0
WBGene00000035	109.0	126.0	146.0	120.0	120.0	134.0
WBGene00000036	307.0	375.0	340.0	548.0	491.0	798.0
WBGene00000037	41.0	44.0	29.0	16.0	36.0	40.0
WBGene00000038	0.0	5.0	2.0	5.0	4.0	1.0
WBGene00000039	291.0	288.0	350.0	7301.0	905.0	10154.0
WBGene00000040	5107.0	6179.0	4617.0	6887.0	6032.0	12077.0
WBGene00000041	16729.0	18616.0	14687.0	15362.0	16954.0	25263.0
