gene_id	paired_ABC284_1	paired_oxIs12_2	paired_ABC16_2	paired_oxIs12_1	paired_ABC291_1	paired_ABC291_2	paired_ABC16_1	paired_ABC284_2
WBGene00000001	761.0	557.0	705.0	475.0	1017.0	939.0	624.0	1015.0
WBGene00000002	232.0	221.0	285.0	382.0	183.0	266.0	303.0	100.0
WBGene00000003	263.0	345.0	231.0	208.0	106.0	149.0	288.0	150.0
WBGene00000004	167.0	158.0	160.0	166.0	217.0	183.0	202.0	261.0
WBGene00000005	98.0	181.0	208.0	191.0	158.0	124.0	188.0	147.0
WBGene00000006	155.0	286.0	148.0	207.0	198.0	189.0	158.0	321.0
WBGene00000007	189.0	293.0	311.0	251.0	131.0	104.0	305.0	241.0
WBGene00000008	37.0	53.0	22.0	24.0	18.0	15.0	60.0	38.0
WBGene00000009	14.0	16.0	38.0	22.0	9.0	19.0	38.0	10.0
WBGene00000010	676.0	692.0	703.0	532.0	868.0	740.0	737.0	883.0
WBGene00000012	0.0	0.0	3.0	0.0	0.0	12.0	5.0	4.0
WBGene00000013	2.0	0.0	1.0	4.0	6.0	4.0	8.0	9.0
WBGene00000014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00000015	0.0	11.0	0.0	5.0	0.0	0.0	0.0	3.0
WBGene00000016	40.0	33.0	13.0	1.0	39.0	52.0	8.0	42.0
WBGene00000017	62.0	100.0	18.0	8.0	104.0	88.0	32.0	98.0
WBGene00000018	364.0	683.0	490.0	791.0	324.0	313.0	622.0	639.0
WBGene00000019	279.0	416.0	401.0	397.0	224.0	229.0	431.0	123.0
WBGene00000020	274.0	732.0	328.0	596.0	374.0	381.0	332.0	282.0
WBGene00000021	65.0	78.0	70.0	33.0	37.0	45.0	68.0	34.0
WBGene00000022	1268.0	2370.0	1368.0	2449.0	1816.0	1450.0	2220.0	1100.0
WBGene00000023	264.0	632.0	458.0	472.0	225.0	299.0	539.0	169.0
WBGene00000024	283.23	2324.11	1916.32	1818.49	19.24	71.82	2412.39	557.53
WBGene00000025	0.0	24.85	37.0	55.8	0.0	0.0	76.0	1.0
WBGene00000026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WBGene00000027	0.0	89.0	329.22	110.0	0.0	0.0	457.73	0.0
WBGene00000028	0.0	2.0	18.0	0.0	0.0	0.0	3.0	0.0
WBGene00000029	135.24	923.12	861.77	658.23	6.0	60.77	1061.81	186.51
WBGene00000030	111.88	1273.4	1243.13	808.38	7.07	50.33	1540.17	291.61
WBGene00000031	187.0	2243.13	1837.16	1509.64	33.0	178.0	2290.67	609.66
WBGene00000032	55.6	198.68	257.08	242.51	3.0	16.2	214.33	75.98
WBGene00000033	113.0	1281.0	886.0	908.0	14.0	96.0	1096.0	241.0
WBGene00000034	115.0	1643.0	1505.0	1237.0	23.0	103.0	1882.0	475.0
WBGene00000035	96.0	129.0	77.0	92.0	105.0	150.0	130.0	120.0
WBGene00000036	342.0	431.0	342.0	413.0	343.0	300.0	455.0	394.0
